cmp,sURL,dURL,dFile,type,aDir,aBAT,aPATH,isFile,ps1,sp1,sp2,sp3,sp4,sp5
PCM8,http://retropc.net/x68000/software/sound/adpcm/pcm8/,http://retropc.net/x68000/software/sound/adpcm/pcm8/P8_048B.LZH,P8_048B.LZH,X68,TL,,TL,TL\PCM8.X,,,,,,
MXDRV,http://retropc.net/x68000/software/sound/mxdrv/mxdrv16/,http://retropc.net/x68000/software/sound/mxdrv/mxdrv16/MXDRV206.LZH,MXDRV206.LZH,X68,MX,MX.BAT,MX,MX\mxdrv16.x,,,,,,
MMDSP,https://www.vector.co.jp/soft/x68/art/se019746.html,https://ftp.vector.co.jp/69/10/2375/MMDSP030.zip,MMDSP030.zip,X68,TL,,TL,TL\MMDSP.r,,,,,,
RCD(RC-System),http://retropc.net/x68000/software/sound/rc/rcsystem/,http://retropc.net/x68000/software/sound/rc/rcsystem/rc3013.Lzh,rc3013.Lzh,X68,RC,RC.BAT,RC,RC\rcd.x,,,,,,
RCD(Conv.),http://retropc.net/x68000/software/sound/rc/rcsystem/,http://retropc.net/x68000/software/sound/rc/rcsystem/conv3013.Lzh,conv3013.Lzh,X68,RC,,RC,RC\ItoR.X,,,,,,
STF,http://retropc.net/x68000/software/tools/filer/stf/,http://retropc.net/x68000/software/tools/filer/stf/STF200FS.LZH,STF200FS.LZH,X68,TF,,TF,tf.x,,,,,,
TwentyOne.x,http://retropc.net/x68000/software/disk/filename/twentyone/,http://retropc.net/x68000/software/disk/filename/twentyone/tw136c14.lzh,tw136c14.lzh,X68,TL,,TL,TwentyOne.x,,,,,,
MCDRV(Ver0.68本体),http://retropc.net/saya/x68000/,http://retropc.net/saya/x68000/lib/MCDRV068.lzh,MCDRV068.lzh,X68,MC,MC.BAT,MC,MCDRV.x,,,,,,
MCDRV(Ver0.69差分),http://retropc.net/saya/x68000/,http://retropc.net/saya/x68000/lib/MCDRV069.Lzh,MCDRV069.Lzh,X68,MC,,MC,MCDRV.x,,,,,,
MCDISP,http://retropc.net/saya/x68000/,http://retropc.net/saya/x68000/lib/MCDSP047.Lzh,MCDSP047.Lzh,X68,MC,,MC,MCDISP.R,,,,,,
